window,lag_frames,lag_ms,global_mae,global_rmse,global_p95_abs_error,within_5_units_rate_all_joints
all,0,0.0,2.9087623825017195,4.74195987123694,10.956422042846677,0.8062085593731163
all,1,33.33330154418945,2.658261458258986,4.396650044904007,9.990230655670164,0.8236714975845411
all,2,66.6666030883789,2.3709248864355046,4.024122043211451,8.887351274490356,0.8411978221415608
all,3,99.99990463256836,2.1468985225215103,3.710446087433932,8.409931182861326,0.8645454545454545
all,4,133.3332061767578,2.000189395749214,3.4840439227673623,7.243746376037597,0.8803885853066181
all,5,166.66650772094727,1.9592869653663352,3.387555390237802,6.415517187118529,0.8953771289537713
all,6,199.99980926513672,2.028934958493615,3.435743003930488,6.573780822753906,0.88878732480195
all,7,233.33311080932617,2.1774544358999446,3.605173196316364,7.360424160957336,0.8681318681318682
all,8,266.6664123535156,2.361084167846117,3.860997706318587,8.400028038024889,0.8409785932721713
all,9,299.9997138977051,2.575140582634976,4.17267230914369,9.07830934524536,0.8198529411764706
all,10,333.33301544189453,2.8021931482411513,4.519873597500966,10.077952480316153,0.7986494782074892
all,11,366.666316986084,3.047488144073099,4.877958038616838,11.102017211914054,0.7795202952029521
all,12,399.99961853027344,3.3042494380136223,5.244811442990917,12.074763059616089,0.7578558225508318
all,13,433.3329200744629,3.5642029708734264,5.614755285599263,12.750492525100697,0.737037037037037
all,14,466.66622161865234,3.8212613937621804,5.988546238794203,13.711611986160278,0.717687074829932
all,15,499.9995231628418,4.082135989264928,6.36534522959252,14.623515701293933,0.6995043370508055
after_1.0s,0,0.0,2.9289102980747126,4.758641809717976,11.054576683044422,0.8068833652007649
after_1.0s,1,33.33330154418945,2.6810879816573547,4.424441399446266,10.14981870651245,0.8237547892720306
after_1.0s,2,66.6666030883789,2.4041589009250806,4.071121111055718,9.161346197128296,0.8403710812539987
after_1.0s,3,99.99990463256836,2.1891960421433816,3.771043607999737,8.529353666305536,0.8612179487179488
after_1.0s,4,133.3332061767578,2.0506200006969784,3.554517390622327,7.508630180358881,0.8757225433526011
after_1.0s,5,166.66650772094727,2.016666717194452,3.4624998862764693,6.56443452835082,0.8902831402831403
after_1.0s,6,199.99980926513672,2.087693994224725,3.509473694808193,6.73331389427185,0.8839458413926499
after_1.0s,7,233.33311080932617,2.2311929378571898,3.6736006260086658,7.604363918304443,0.8643410852713178
after_1.0s,8,266.6664123535156,2.406682542660861,3.9215336097949156,8.529052066802977,0.8381877022653722
after_1.0s,9,299.9997138977051,2.611035887533666,4.225032671318358,9.247551536560056,0.817769130998703
after_1.0s,10,333.33301544189453,2.8359565823844224,4.573132061990509,10.243331623077387,0.7962962962962963
after_1.0s,11,366.666316986084,3.079771050644922,4.929404093064893,11.205971002578735,0.7770182291666666
after_1.0s,12,399.99961853027344,3.331016394976145,5.285781067381131,12.145084857940674,0.7566862361382909
after_1.0s,13,433.3329200744629,3.5861380711636124,5.64664043782357,12.886561012268057,0.7369281045751634
after_1.0s,14,466.66622161865234,3.8371071267504666,6.012309271602069,13.782808542251583,0.7174197773411919
after_1.0s,15,499.9995231628418,4.089733162757958,6.382197109932307,14.713564777374275,0.6991469816272966
