dataset,dataset_label,joint,joint_index,phase_percent,p10,p25,p50_median,p75,p90
sim,Simulation,shoulder_pan.pos,0,0,-8.659340858459473,-5.868131756782532,-4.263736248016357,-1.6703296899795532,-0.04395604506134987
sim,Simulation,shoulder_pan.pos,0,1,-8.659340858459473,-5.868131756782532,-4.263736248016357,-1.681978040933609,-0.04395604506134987
sim,Simulation,shoulder_pan.pos,0,2,-8.659340858459473,-5.868131756782532,-4.263736248016357,-1.7142857313156128,-0.04395604506134987
sim,Simulation,shoulder_pan.pos,0,3,-8.659340858459473,-5.868131756782532,-4.263736248016357,-1.7142857313156128,-0.12307692952454015
sim,Simulation,shoulder_pan.pos,0,4,-8.659340858459473,-5.846153736114502,-4.263736248016357,-1.7142857313156128,-0.008791208639737945
sim,Simulation,shoulder_pan.pos,0,5,-8.668132019042968,-5.978021860122681,-4.351648330688477,-1.38021981716156,-0.20219780392944664
sim,Simulation,shoulder_pan.pos,0,6,-9.35876926803589,-6.227692174911499,-3.995604395866394,-1.0391209214925765,0.7208791434764914
sim,Simulation,shoulder_pan.pos,0,7,-10.325802276611327,-6.109889984130859,-3.384615421295166,-0.7252747416496277,1.9970988799333582
sim,Simulation,shoulder_pan.pos,0,8,-11.832967414855958,-6.5819778680801395,-3.472527503967285,-0.5494505167007446,10.154900749206545
sim,Simulation,shoulder_pan.pos,0,9,-14.716132431983945,-7.167472352981568,-3.6923075914382935,-0.6153846234083176,20.763779119491613
sim,Simulation,shoulder_pan.pos,0,10,-25.5648344039917,-9.230769109725951,-3.8065936088562013,-0.19780219942331284,31.700219669342054
sim,Simulation,shoulder_pan.pos,0,11,-33.224088935852045,-12.211867923736573,-3.7802199125289917,5.535604377985018,34.72386463928226
sim,Simulation,shoulder_pan.pos,0,12,-38.89301173400879,-14.18725281715393,-3.854066004753113,16.508131771087644,38.59692207336428
sim,Simulation,shoulder_pan.pos,0,13,-47.6351636428833,-19.727692251205443,-4.149450446367264,24.029669728279117,46.99481413269045
sim,Simulation,shoulder_pan.pos,0,14,-50.89476747131347,-22.765714454650873,-3.912087917327881,27.488351612091062,50.399119956970225
sim,Simulation,shoulder_pan.pos,0,15,-55.082636280059816,-27.465933179855348,-3.6351646542549134,30.529668664932252,54.42109817504883
sim,Simulation,shoulder_pan.pos,0,16,-58.810723434448235,-31.560439586639404,-3.8681318759918213,34.53713996887207,54.61802142333985
sim,Simulation,shoulder_pan.pos,0,17,-62.893628124237054,-31.516483783721924,-3.536703292131424,37.97230736732483,56.12501039123536
sim,Simulation,shoulder_pan.pos,0,18,-62.998326492309566,-31.17274694442749,-3.3353845429420477,40.074723663330076,58.13608321380615
sim,Simulation,shoulder_pan.pos,0,19,-65.50681512451172,-32.681757774353024,-2.7156044125556944,42.6026364994049,62.062856502532966
sim,Simulation,shoulder_pan.pos,0,20,-66.73406600952148,-31.82417554855347,-3.156044006347656,43.30109786987305,64.54681289672854
sim,Simulation,shoulder_pan.pos,0,21,-66.60219802856446,-31.802199840545654,-4.402637338638305,43.875384473800665,66.02408979797366
sim,Simulation,shoulder_pan.pos,0,22,-67.20527471923828,-33.042636775970465,-3.1648351550102234,44.27692356109619,67.5653624572754
sim,Simulation,shoulder_pan.pos,0,23,-67.63076705932617,-34.6426379776001,-3.1648351550102234,44.72571475982666,67.70144721984863
sim,Simulation,shoulder_pan.pos,0,24,-67.28966949462891,-36.56175922393799,-2.8167033076286305,46.34989013671875,68.00879135131837
sim,Simulation,shoulder_pan.pos,0,25,-69.31208724975586,-38.56044054031372,-2.681318700313568,46.80219554901123,68.34725456237794
sim,Simulation,shoulder_pan.pos,0,26,-70.09230728149414,-40.05406513214111,-2.484395577907563,46.97054889678955,67.57802200317383
sim,Simulation,shoulder_pan.pos,0,27,-70.07727407073975,-40.178021030426024,-1.9771428489685048,46.56021817207336,67.41977767944336
sim,Simulation,shoulder_pan.pos,0,28,-70.03006378173828,-40.798240928649896,-0.6294505554437617,45.31868267059326,66.8307664489746
sim,Simulation,shoulder_pan.pos,0,29,-70.65802214050292,-41.28879207611084,0.6092307710647566,45.13912052154541,64.75885647583009
sim,Simulation,shoulder_pan.pos,0,30,-72.1740657043457,-42.241756439208984,0.6461538653820749,43.925274467468256,64.79296615600587
sim,Simulation,shoulder_pan.pos,0,31,-72.30769500732421,-42.45362705230713,-0.09406593449414064,44.19780254364014,64.49160473632814
sim,Simulation,shoulder_pan.pos,0,32,-73.60703448486328,-42.90109825134277,-0.4395604655146599,45.45054817199707,63.36738685607913
sim,Simulation,shoulder_pan.pos,0,33,-75.10848226165773,-43.011866416931156,-0.3956044241786003,45.53846073150635,62.11648260879521
sim,Simulation,shoulder_pan.pos,0,34,-75.34945144653321,-42.91428684234619,-0.35164837539196014,45.410109519958496,62.03270098876957
sim,Simulation,shoulder_pan.pos,0,35,-75.2821968460083,-42.98901081085205,-0.5186813324689872,44.62637376785278,61.986814117431685
sim,Simulation,shoulder_pan.pos,0,36,-75.05793634033203,-43.12087821960449,-0.031648349761962846,43.83560375213623,61.97802352905278
sim,Simulation,shoulder_pan.pos,0,37,-74.88351516723633,-43.97274740219116,0.17582428455352783,43.400000762939456,62.013273891449
sim,Simulation,shoulder_pan.pos,0,38,-74.8043930053711,-44.19780158996582,0.12131873369217017,42.2417573928833,61.45828229522706
sim,Simulation,shoulder_pan.pos,0,39,-74.66751853179932,-44.19450483322144,2.656703317165383,42.1081307220459,61.61001868057253
sim,Simulation,shoulder_pan.pos,0,40,-73.18328979492188,-43.999999046325684,3.3846153616905212,41.947251319885254,61.661534500122094
sim,Simulation,shoulder_pan.pos,0,41,-72.70329360961914,-43.93406677246094,1.2307692766189575,41.9780216217041,61.661534500122094
sim,Simulation,shoulder_pan.pos,0,42,-72.69151361083983,-43.8021936416626,2.506373655796051,41.9780216217041,61.635161209106464
sim,Simulation,shoulder_pan.pos,0,43,-72.8600449295044,-43.8021936416626,3.1806593298912054,43.221098289489746,61.71428680419924
sim,Simulation,shoulder_pan.pos,0,44,-68.69590817260742,-44.19780158996582,2.709450521171093,42.714724998474125,61.78637001037599
sim,Simulation,shoulder_pan.pos,0,45,-69.12044017791747,-44.17033076286316,2.8461538311094197,42.791208267211914,61.9516498565674
sim,Simulation,shoulder_pan.pos,0,46,-69.4153823852539,-43.62417612075805,5.318681240081787,42.96703338623047,64.28308186340335
sim,Simulation,shoulder_pan.pos,0,47,-69.38391011047364,-44.520878105163575,5.856703186035158,41.85406543731688,64.38698650360112
sim,Simulation,shoulder_pan.pos,0,48,-69.35384368896484,-42.89934173583985,4.330549383163454,41.07692337036133,64.0879142761231
sim,Simulation,shoulder_pan.pos,0,49,-69.35384368896484,-41.82153854370117,3.53054942548276,43.01098823547363,64.09670562744147
sim,Simulation,shoulder_pan.pos,0,50,-72.33845596313478,-41.91208839416504,2.615384576842189,42.967031478881836,63.841758728027386
sim,Simulation,shoulder_pan.pos,0,51,-73.77582550048828,-41.271208658218384,-1.169670341908947,41.41714147567748,63.57802467346194
sim,Simulation,shoulder_pan.pos,0,52,-73.77969369506836,-39.38725326538086,-3.4250550985336297,41.20967102050781,63.49011268615725
sim,Simulation,shoulder_pan.pos,0,53,-73.85494766235351,-41.997581768035886,-2.0817582418024507,39.80219841003418,63.806682376861616
sim,Simulation,shoulder_pan.pos,0,54,-74.25055160522462,-41.59736129760742,-1.0654945369809528,40.22593521118164,63.545847770690955
sim,Simulation,shoulder_pan.pos,0,55,-74.26945224761963,-41.32197828292847,-2.997802257537833,41.17802171707155,61.41010910034179
sim,Simulation,shoulder_pan.pos,0,56,-74.44536260986328,-41.95604419708252,-6.881757831573484,40.96439559936525,58.91868057250978
sim,Simulation,shoulder_pan.pos,0,57,-70.01441624450672,-41.673847389221194,-5.786373434066771,39.297581977844246,58.91868057250978
sim,Simulation,shoulder_pan.pos,0,58,-67.64852558898926,-41.250988769531254,-2.157362687587735,37.0839557647705,60.31577906799318
sim,Simulation,shoulder_pan.pos,0,59,-64.33345044708253,-37.537583045959465,-4.208791196346296,36.98549480438233,59.67094330215454
sim,Simulation,shoulder_pan.pos,0,60,-67.7503254699707,-39.38901214599609,-9.599999809265135,38.123076820373555,58.57582321166993
sim,Simulation,shoulder_pan.pos,0,61,-61.31269863891601,-43.550770530700674,-6.032966911792768,35.47736158370973,58.70769195556642
sim,Simulation,shoulder_pan.pos,0,62,-60.61678936004638,-45.56571418762208,-4.014065923690778,32.701539268493654,59.834721450805674
sim,Simulation,shoulder_pan.pos,0,63,-57.51094313049316,-45.9437367630005,-2.085274709463079,32.52659289836879,64.1582405090332
sim,Simulation,shoulder_pan.pos,0,64,-59.38145011901857,-42.717360038757306,-1.3432967716455444,32.8817583847046,63.97608453369141
sim,Simulation,shoulder_pan.pos,0,65,-60.1090128326416,-44.52747411727905,-2.901098847389221,36.401098680496204,63.30461788177491
sim,Simulation,shoulder_pan.pos,0,66,-61.770198272705066,-40.79121017456055,-3.1789011433720558,40.17318626403808,61.530899879455504
sim,Simulation,shoulder_pan.pos,0,67,-62.42848698425293,-41.26549369812007,-3.3406593799591064,43.03736340522768,58.788747070312525
sim,Simulation,shoulder_pan.pos,0,68,-62.46119067382813,-40.64703338623047,-2.1661539518832944,39.153407211303715,59.150414779663095
sim,Simulation,shoulder_pan.pos,0,69,-58.916218719482416,-41.208790206909185,0.727912073731432,37.2632970046997,60.50285293960568
